dataset,source_nutrient_id,nutrient_master_id,name,unit_name,foods_with_nutrient,total_foods,completeness_percent
foundation,1331.0,1331,"Fatty acids, total trans-polyenoic",G,26,395,6.58
foundation,1232.0,1232,Cysteine,G,25,395,6.33
foundation,2017.0,2017,TFA 18:2 t,G,24,395,6.08
foundation,2058.0,2058,Beta-glucan,G,23,395,5.82
foundation,1268.0,1268,MUFA 18:1,G,22,395,5.57
foundation,1270.0,1270,PUFA 18:3,G,22,395,5.57
foundation,1296.0,1296,Delta-5-avenasterol,MG,19,395,4.81
foundation,1286.0,1286,Campesterol,MG,19,395,4.81
foundation,1274.0,1274,MUFA 14:1,G,19,395,4.81
foundation,2038.0,2038,High Molecular Weight Dietary Fiber (HMWDF),G,19,395,4.81
foundation,2065.0,2065,Low Molecular Weight Dietary Fiber (LMWDF),G,19,395,4.81
foundation,1288.0,1288,Beta-sitosterol,MG,19,395,4.81
foundation,1294.0,1294,Beta-sitostanol,MG,19,395,4.81
foundation,1275.0,1275,MUFA 16:1,G,19,395,4.81
foundation,1285.0,1285,Stigmasterol,MG,19,395,4.81
foundation,1216.0,1216,Cystine,G,18,395,4.56
foundation,1071.0,1071,Resistant starch,G,17,395,4.3
foundation,1137.0,1137,"Boron, B",UG,17,395,4.3
foundation,1146.0,1146,"Nickel, Ni",UG,17,395,4.3
foundation,1094.0,1094,"Sulfur, S",MG,17,395,4.3
foundation,1097.0,1097,"Cobalt, Co",UG,17,395,4.3
foundation,1032.0,1032,Citric acid,MG,15,395,3.8
foundation,1039.0,1039,Malic acid,MG,15,395,3.8
foundation,2052.0,2052,Delta-7-Stigmastenol,MG,15,395,3.8
foundation,1113.0,1113,25-hydroxycholecalciferol,UG,15,395,3.8
foundation,1161.0,1161,cis-Lutein/Zeaxanthin,UG,14,395,3.54
foundation,1041.0,1041,Oxalic acid,MG,13,395,3.29
foundation,1044.0,1044,Quinic acid,MG,13,395,3.29
foundation,2032.0,2032,"Cryptoxanthin, alpha",UG,13,395,3.29
foundation,1409.0,1409,PUFA 18:3i,G,13,395,3.29
foundation,1119.0,1119,Zeaxanthin,UG,12,395,3.04
foundation,2060.0,2060,Ergosta-7-enol,MG,11,395,2.78
foundation,1284.0,1284,Ergosterol,MG,11,395,2.78
foundation,2069.0,2069,Glutathione,MG,11,395,2.78
foundation,2057.0,2057,Ergothioneine,MG,11,395,2.78
foundation,2059.0,2059,Vitamin D4,UG,11,395,2.78
foundation,1160.0,1160,cis-Lycopene,UG,11,395,2.78
foundation,1159.0,1159,cis-beta-Carotene,UG,11,395,2.78
foundation,1121.0,1121,Lutein,UG,11,395,2.78
foundation,1188.0,1188,5-methyl tetrahydrofolate (5-MTHF),UG,11,395,2.78
foundation,2062.0,2062,"Ergosta-5,7-dienol",MG,11,395,2.78
foundation,2061.0,2061,"Ergosta-7,22-dienol",MG,11,395,2.78
foundation,2028.0,2028,trans-beta-Carotene,UG,11,395,2.78
foundation,1082.0,1082,"Fiber, soluble",G,10,395,2.53
foundation,1084.0,1084,"Fiber, insoluble",G,10,395,2.53
foundation,2029.0,2029,trans-Lycopene,UG,10,395,2.53
foundation,1289.0,1289,Campestanol,MG,8,395,2.03
foundation,1287.0,1287,Brassicasterol,MG,8,395,2.03
foundation,2049.0,2049,Daidzin,MG,6,395,1.52
foundation,2051.0,2051,Glycitin,MG,6,395,1.52
foundation,1341.0,1341,Genistein,MG,6,395,1.52
foundation,1340.0,1340,Daidzein,MG,6,395,1.52
foundation,2050.0,2050,Genistin,MG,6,395,1.52
foundation,1043.0,1043,Pyruvic acid,MG,5,395,1.27
foundation,2000.0,2000,Total Sugars,G,5,395,1.27
foundation,1298.0,1298,"Phytosterols, other",MG,4,395,1.01
foundation,1118.0,1118,"Carotene, gamma",UG,4,395,1.01
foundation,2053.0,2053,Stigmastadiene,MG,4,395,1.01
foundation,1279.0,1279,MUFA 22:1,G,3,395,0.76
foundation,1117.0,1117,Phytofluene,UG,2,395,0.51
foundation,2063.0,2063,Verbascose,G,2,395,0.51
foundation,1077.0,1077,Stachyose,G,2,395,0.51
foundation,1076.0,1076,Raffinose,G,2,395,0.51
foundation,1116.0,1116,Phytoene,UG,2,395,0.51
foundation,1024.0,1024,Specific Gravity,SP_GR,1,395,0.25
foundation,1191.0,1191,10-Formyl folic acid (10HCOFA),UG,1,395,0.25
foundation,1192.0,1192,5-Formyltetrahydrofolic acid (5-HCOH4,UG,1,395,0.25
foundation,1325.0,1325,PUFA 20:3,G,1,395,0.25
foundation,1407.0,1407,PUFA 20:4 n-3,G,1,395,0.25
foundation,1413.0,1413,MUFA 18:1-11 c (18:1c n-7),G,1,395,0.25
foundation,1332.0,1332,SFA 13:0,G,1,395,0.25
foundation,1408.0,1408,PUFA 20:4 n-6,G,1,395,0.25
foundation,2068.0,2068,Vitamin E,MG,1,395,0.25
