search_term,code,product_name,brands,countries,categories,categories_tags,ingredients_text,allergens,allergens_tags,labels,labels_tags,nova_group,energy_kcal_100g,fat_100g,carbohydrates_100g,sugars_100g,fiber_100g,proteins_100g,salt_100g,sodium_100g,source_dataset
rice flour,3760130560726,Farine complète de Riz Bio,Non Fournil,France,"Rice flours, fr:Farines complètes de riz","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:flours', 'en:cereal-flours', 'en:rice-flours', 'fr:farines complètes de riz']",whole rice flour,,[],"DE-ÖKO-007, EU Agriculture, FR-BIO-01, AB Agriculture Biologique, Afdiag","['en:no-gluten', 'en:organic', 'en:crossed-grain-trademark', 'en:eu-organic', 'en:de-oko-007', 'en:eu-agriculture', 'en:fr-bio-01', 'fr:ab-agriculture-biologique', 'fr:afdiag']",1.0,352.0,2.5,74.0,0.0,3.6,7.5,0.0,0.0,open_food_facts
rice flour,7613039587003,Nestle lion wild cereal,,Maroc,"Sels, Beurres, Sucres, Gélifiants, Beurres de cacao, Semoules de maïs, Fer, Laits en poudre, Farines de riz, lactosérum en poudre, B2, B5, B6, Bulking agent, Calcium carbonate, Caramelised sugar syrup, Carotene, Chocolate flavouring, Fat reduced cocoa powder, Folic acid, Glucose syrup, Maltodextrin, Natural caramel, Non hydrogenated vegetable oil, Tocopherols, Vitamin B3, Whole grain wheat","['en:beverages-and-beverages-preparations', 'en:plant-based-foods-and-beverages', 'en:beverages', 'en:dairies', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:condiments', 'en:fats', 'en:spreads', 'en:cereals-and-their-products', 'en:dried-products', 'en:flours', 'en:milks-liquid-and-powder', 'en:vegetable-fats', 'en:cereal-flours', 'en:dried-products-to-be-rehydrated', 'en:spreadable-fats', 'en:sweeteners', 'en:animal-fats', 'en:cereal-semolinas', 'en:dairy-spreads', 'en:food-additives', 'en:milkfat', 'en:salts', 'en:butters', 'en:dietary-supplements', 'en:sugars', 'en:dehydrated-beverages', 'en:mineral-supplements', 'en:thickeners', 'en:cocoa-butter', 'en:corn-semolinas', 'en:iron-supplements', 'en:milk-powders', 'en:rice-flours', 'en:whey-powder', 'fr:b2', 'fr:b5', 'fr:b6', 'fr:bulking agent', 'fr:calcium carbonate', 'fr:caramelised sugar syrup', 'fr:carotene', 'fr:chocolate flavouring', 'fr:fat reduced cocoa powder', 'fr:folic acid', 'fr:glucose syrup', 'fr:maltodextrin', 'fr:natural caramel', 'fr:non hydrogenated vegetable oil', 'fr:tocopherols', 'fr:vitamin b3', 'fr:whole grain wheat']",,,[],Sans colorants,['en:no-colorings'],2.0,433.0,15.5,65.8,24.6,,5.0,0.8,0.32,open_food_facts
rice flour,0076808003888,Gluten Free Spaghetti,Barilla,"Bolivia, Germany, United States, world","Cereals and their products, Gluten-free dry pasta, Spaghetti, Gluten-free Spaghetti, Italian pasta","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:specific-products', 'en:cereals-and-their-products', 'en:products-for-specific-diets', 'en:pastas', 'en:products-without-gluten', 'en:dry-pastas', 'en:gluten-free-pasta', 'en:gluten-free-dry-pasta', 'en:spaghetti', 'en:gluten-free-spaghetti', 'en:italian-pasta']","CORN FLOUR, RICE FLOUR, MONO AND DIGLYCERIDES.",none,['en:none'],"Certified gluten-free, Made in USA, Non GMO project, Orthodox Union Kosher","['en:no-gluten', 'en:kosher', 'en:no-gmos', 'en:certified-gluten-free', 'en:made-in-usa', 'en:non-gmo-project', 'en:orthodox-union-kosher']",4.0,335.102638521014,1.76369809747902,,0.0,3.52739619495804,7.05479238991608,0.0,0.0,open_food_facts
rice flour,3760275575463,Farine de riz gluant,Autour du Riz,France,"Riz gluant, Farines de riz, en:Glutinous rice flours","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:seeds', 'en:cereals-and-their-products', 'en:flours', 'en:cereal-flours', 'en:cereal-grains', 'en:rices', 'en:glutinous-rices', 'en:rice-flours', 'en:glutinous rice flours']",Farine de riz d'u Sticky rice traditionnel 100% Farine de riz gluant blanc issu de l'agriculture biologique,,[],FR-BIO-10,"['en:organic', 'en:eu-organic', 'en:fr-bio-10']",,355.0,0.7,81.0,0.0,0.0,6.2,0.0,0.0,open_food_facts
rice flour,5011766010085,Ryžová múka bezlepková,Doves Farm,"Germany, Slovakia, United Kingdom","Rice flours, sk:ryzova-muka","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:cereals-and-potatoes', 'en:cereals-and-their-products', 'en:flours', 'en:cereal-flours', 'en:rice-flours', 'sk:ryzova-muka']","white rice, brown rice",,[],No gluten,['en:no-gluten'],1.0,354.0,2.0,75.0,0.3,2.6,7.8,0.025,0.012,open_food_facts
lentils,3083680918497,Cassegrain - Lentilles préparées 4/4,Cassegrain,"France, Allemagne","Plats préparés en conserve, Légumineuses en conserve, Lentilles préparées, en:Vegetables - Prepared/Processed (Shelf Stable), Legumes-preparees","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:canned-foods', 'en:legumes', 'en:meals', 'en:seeds', 'en:canned-plant-based-foods', 'en:legume-seeds', 'en:pulses', 'en:canned-meals', 'en:lentils', 'en:canned-legumes', 'en:prepared-lentils', 'en:vegetables - prepared/processed (shelf stable)', 'fr:legumes-preparees']","Eau, lentilles sèches trempées 32%, carottes 3%, arômes, oignons déshydratés 0.7%, sel, feuille de laurier, affermissant : chlorure de calcium.

 

peut contenir des cécérales contenant du GLUTEN, SOJA",gluten,['en:gluten'],"Sans conservateurs, Nutriscore A, Triman","['en:no-preservatives', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman']",4.0,91.0,0.5,14.0,0.5,3.1,6.6,0.76,0.304,open_food_facts
lentils,3760020508883,Lentilles façon petit salé,"Jardin Bio, Léa nature",France,"Microwave meals, Prepared lentils","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:legumes-and-their-products', 'en:legumes', 'en:meals', 'en:seeds', 'en:legume-seeds', 'en:pulses', 'en:lentils', 'en:microwave-meals', 'en:prepared-lentils']","water, green lentils dry 27%, pieces of vegetables to 10,2% (carrots, onions), pieces of cooked ham to 6,9% (ham of pig, water, salt, glucose syrup, raw cane sugar, natural aroma, antioxidant : ascorbic acid), sunflower oil, vegetable bouillon powder (sea salt, yeast extract, maize starch, sunflower oil, carrots, leeks, spices, aromatic plants, celery ), herbs,",celery,['en:celery'],"Certified by Ecocert, 1% for the planet, EU/non-EU Agriculture, Made in France, No flavors, Nutriscore Grade A, AB Agriculture Biologique","['en:organic', 'en:certified-by-ecocert', 'en:eu-organic', 'en:non-eu-agriculture', 'en:1-for-the-planet', 'en:eu-agriculture', 'en:eu-non-eu-agriculture', 'en:made-in-france', 'en:no-flavors', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:ab-agriculture-biologique']",4.0,135.0,2.3,17.0,0.6,7.2,8.0,0.65,0.26,open_food_facts
lentils,3270160695621,"Crevettes à l'indienne, lentilles corail et légumes",Picard,France,"Plats préparés au poisson, Plats préparés surgelés, Plats à base de lentilles, plats préparés à réchauffer au micro-ondes, Plats aux crevettes","['en:frozen-foods', 'en:meals', 'en:combination-meals', 'en:meals-with-fish', 'en:frozen-ready-made-meals', 'en:lentil-dishes', 'en:meals-with-shellfish', 'en:microwave-meals', 'en:meals-with-shrimps']","Lentille corail cuite 26,7%, queue de crevette crue décortiquée (CRUSTACÉS) 20%, eau, courgette 7,7%, yaourt nature brassé 1% de matière grasse (LAIT) 6,6%, carotte 5,5%, épinard 4,6%, tomate 4,6%, oignon 3%, poivron jaune 2,3%, échalote, lait de coco en poudre 1,1% [lait de noix de coco, maltodextrine, caséinate de sodium (LAIT)], fumet de POISSONS [eau, POISSONS, sel, huile de tournesol, vin blanc, fibre d'agrumes, oignon en poudre], huile d'olive vierge extra, beurre (LAIT), LAIT entier en poudre, jus de citron, farine de riz, ail, fibre de lin, huile de tournesol, sauce au POISSONS 0,15% (extrait de POISSONS (anchois), sel, eau), curcuma, coriandre en poudre, sel, basilic, cumin, gingembre, thym, cannelle, piment de cayenne. Peut contenir des traces de: œuf, arachide, céleri.","crustacés, poisson, lait","['en:crustaceans', 'en:fish', 'en:milk']","Source de fibres alimentaires, Riche en protéines, Nutriscore A, Triman","['en:source-of-fibre', 'en:source-of-proteins', 'en:high-proteins', 'en:nutriscore', 'en:nutriscore-grade-a', 'fr:triman']",4.0,93.1428571428571,2.8,7.6,1.7,3.1,8.1,0.33,0.132,open_food_facts
lentils,5013665115373,Lentil and Pea Cakes with Beetroot and Balsamic Flavour Seasoning,Kallo,United Kingdom,"Crackers (Appetizers), Vegetable cakes","['en:snacks', 'en:salty-snacks', 'en:appetizers', 'en:biscuits-and-crackers', 'en:crackers-appetizers', 'en:vegetable-cakes']","Lentil Flour 76%, Rapeseed Oil, Beetroot, Balsamic Seasoning 7.2% (Sugar, Salt, Onion, Natural Flavour, Beetroot Red 8%, Garlic, Black Pepper, Balsamic Vinegar 0.7%), Green Peas 5.7%",,[],"No gluten, Vegan, Certified B Corporation, High fibres, Rich in vegetable protein","['en:vegetarian', 'en:no-gluten', 'en:source-of-fibre', 'en:source-of-proteins', 'en:vegan', 'en:certified-b-corporation', 'en:high-fibres', 'en:high-proteins', 'en:rich-in-vegetable-protein']",4.0,400.0,12.0,51.0,3.6,6.0,25.0,0.1035,0.433,open_food_facts
lentils,3083681085891,Lentilles Vapeur,Bonduelle,France,"Canned vegetables, Canned legumes, Cooked lentils, Prepared lentils, Vegetables - Prepared/Processed (Shelf Stable)","['en:plant-based-foods-and-beverages', 'en:plant-based-foods', 'en:fruits-and-vegetables-based-foods', 'en:legumes-and-their-products', 'en:vegetable-based-foods-and-beverages', 'en:canned-foods', 'en:legumes', 'en:meals', 'en:seeds', 'en:vegetables-based-foods', 'en:canned-plant-based-foods', 'en:legume-seeds', 'en:canned-vegetables', 'en:prepared-vegetables', 'en:pulses', 'en:lentils', 'en:canned-legumes', 'en:cooked-vegetables', 'en:cooked-lentils', 'en:prepared-lentils', 'en:vegetables - prepared/processed (shelf stable)']","Soaked dried lentls, water, salt, firming agent : calcium chloride May contain WHEAT",celery,['en:celery'],"No preservatives, High fibres, High proteins, Nutriscore Grade A, Végétalien, Végétarien","['en:no-preservatives', 'en:source-of-fibre', 'en:source-of-proteins', 'en:high-fibres', 'en:high-proteins', 'en:nutriscore', 'en:nutriscore-grade-a', 'en:végétalien', 'en:végétarien']",4.0,116.0,0.4,16.0,0.5,6.8,8.7,0.48,0.192,open_food_facts
